briefing_date,ticker,source,verdict,conviction,score,horizon_days,entry_date,entry_price,exit_date,exit_price,fwd_return_pct,bench_return_pct,excess_pct,outcome,correct,sub_valuation,sub_quality,sub_momentum,sub_risk
2026-04-30,CCAP,v8b,HOLD,medium,54.6,5,2026-05-02,4.68,2026-05-10,4.67,-0.21,1.9,-2.11,graded,,,,,
2026-04-30,CCAP,v8b,HOLD,medium,54.6,21,2026-05-02,4.68,2026-06-02,5.43,16.03,5.94,10.08,graded,,,,,
2026-04-30,RAYA,v8b,REDUCE,medium,42.0,5,2026-05-02,6.55,2026-05-10,7.28,11.15,1.9,9.25,graded,False,,,,
2026-04-30,RAYA,v8b,REDUCE,medium,42.0,21,2026-05-02,6.55,2026-06-02,7.47,14.05,5.94,8.1,graded,False,,,,
2026-04-30,ZMID,v8b,HOLD,medium,53.4,5,2026-05-02,5.86,2026-05-10,5.81,-0.85,1.9,-2.75,graded,,,,,
2026-04-30,ZMID,v8b,HOLD,medium,53.4,21,2026-05-02,5.86,2026-06-02,6.05,3.24,5.94,-2.7,graded,,,,,
2026-04-30,SKPC,v8b,REDUCE,medium,48.9,5,2026-05-02,17.88,2026-05-10,17.85,-0.17,1.9,-2.07,graded,True,,,,
2026-04-30,SKPC,v8b,REDUCE,medium,48.9,21,2026-05-02,17.88,2026-06-02,17.25,-3.52,5.94,-9.47,graded,True,,,,
2026-04-30,EGCH,v8b,REDUCE,medium,49.1,5,2026-05-02,12.19,2026-05-10,12.8,5.0,1.9,3.1,graded,False,,,,
2026-04-30,EGCH,v8b,REDUCE,medium,49.1,21,2026-05-02,12.19,2026-06-02,15.2,24.69,5.94,18.75,graded,False,,,,
2026-04-30,CCAP,w1,WEEKLY_BUY,weekly,29.17,5,2026-05-02,4.68,2026-05-10,4.67,-0.21,1.9,-2.11,graded,False,,,,
2026-04-30,CCAP,w1,WEEKLY_BUY,weekly,29.17,21,2026-05-02,4.68,2026-06-02,5.43,16.03,5.94,10.08,graded,True,,,,
2026-04-30,RAYA,w1,WEEKLY_BUY,weekly,19.29,5,2026-05-02,6.55,2026-05-10,7.28,11.15,1.9,9.25,graded,True,,,,
2026-04-30,RAYA,w1,WEEKLY_BUY,weekly,19.29,21,2026-05-02,6.55,2026-06-02,7.47,14.05,5.94,8.1,graded,True,,,,
2026-04-30,ZMID,w1,WEEKLY_BUY,weekly,17.72,5,2026-05-02,5.86,2026-05-10,5.81,-0.85,1.9,-2.75,graded,False,,,,
2026-04-30,ZMID,w1,WEEKLY_BUY,weekly,17.72,21,2026-05-02,5.86,2026-06-02,6.05,3.24,5.94,-2.7,graded,False,,,,
2026-04-30,SKPC,w1,WEEKLY_BUY,weekly,17.19,5,2026-05-02,17.88,2026-05-10,17.85,-0.17,1.9,-2.07,graded,False,,,,
2026-04-30,SKPC,w1,WEEKLY_BUY,weekly,17.19,21,2026-05-02,17.88,2026-06-02,17.25,-3.52,5.94,-9.47,graded,False,,,,
2026-04-30,EGCH,w1,WEEKLY_BUY,weekly,15.95,5,2026-05-02,12.19,2026-05-10,12.8,5.0,1.9,3.1,graded,True,,,,
2026-04-30,EGCH,w1,WEEKLY_BUY,weekly,15.95,21,2026-05-02,12.19,2026-06-02,15.2,24.69,5.94,18.75,graded,True,,,,
2026-05-02,CLHO,v8b,HOLD,medium,51.0,5,2026-05-02,15.0,2026-05-10,14.94,-0.4,1.9,-2.3,graded,,,,,
2026-05-02,CLHO,v8b,HOLD,medium,51.0,21,2026-05-02,15.0,2026-06-02,16.15,7.67,5.94,1.72,graded,,,,,
2026-05-02,MTIE,v8b,HOLD,medium,53.4,5,2026-05-02,9.85,2026-05-10,9.3,-5.58,1.9,-7.48,graded,,,,,
2026-05-02,MTIE,v8b,HOLD,medium,53.4,21,2026-05-02,9.85,2026-06-02,9.08,-7.82,5.94,-13.76,graded,,,,,
2026-05-02,RAYA,v8b,REDUCE,medium,43.5,5,2026-05-02,6.55,2026-05-10,7.28,11.15,1.9,9.25,graded,False,,,,
2026-05-02,RAYA,v8b,REDUCE,medium,43.5,21,2026-05-02,6.55,2026-06-02,7.47,14.05,5.94,8.1,graded,False,,,,
2026-05-02,POUL,v8b,HOLD,medium,57.0,5,2026-05-02,35.75,2026-05-10,34.8,-2.66,1.9,-4.56,graded,,,,,
2026-05-02,POUL,v8b,HOLD,medium,57.0,21,2026-05-02,35.75,2026-06-02,37.18,4.0,5.94,-1.94,graded,,,,,
2026-05-02,CCAP,v8b,HOLD,medium,54.8,5,2026-05-02,4.68,2026-05-10,4.67,-0.21,1.9,-2.11,graded,,,,,
2026-05-02,CCAP,v8b,HOLD,medium,54.8,21,2026-05-02,4.68,2026-06-02,5.43,16.03,5.94,10.08,graded,,,,,
2026-05-02,CLHO,w1,WEEKLY_BUY,weekly,25.31,5,2026-05-02,15.0,2026-05-10,14.94,-0.4,1.9,-2.3,graded,False,,,,
2026-05-02,CLHO,w1,WEEKLY_BUY,weekly,25.31,21,2026-05-02,15.0,2026-06-02,16.15,7.67,5.94,1.72,graded,True,,,,
2026-05-02,MTIE,w1,WEEKLY_BUY,weekly,18.69,5,2026-05-02,9.85,2026-05-10,9.3,-5.58,1.9,-7.48,graded,False,,,,
2026-05-02,MTIE,w1,WEEKLY_BUY,weekly,18.69,21,2026-05-02,9.85,2026-06-02,9.08,-7.82,5.94,-13.76,graded,False,,,,
2026-05-02,RAYA,w1,WEEKLY_BUY,weekly,16.67,5,2026-05-02,6.55,2026-05-10,7.28,11.15,1.9,9.25,graded,True,,,,
2026-05-02,RAYA,w1,WEEKLY_BUY,weekly,16.67,21,2026-05-02,6.55,2026-06-02,7.47,14.05,5.94,8.1,graded,True,,,,
2026-05-02,POUL,w1,WEEKLY_BUY,weekly,15.41,5,2026-05-02,35.75,2026-05-10,34.8,-2.66,1.9,-4.56,graded,False,,,,
